Date,Description,Deposit Amount,Withdrawal Amount,Notes,Category Name,Category Id,Ledger Id,Ledger Name
21-12-2025,UPI-ZOMATO-MOVIE TICKETS,,1198,,Entertainment,8,306,Entertainment Expense Ledger
10-11-2025,UPI-DMART-GAS CYLINDER PAYMENT,,1648,,Utilities & Bills,7,305,Utilities Expense Ledger
31-08-2025,UPI-STARBUCKS-PHARMACY,,5501,,Health & Medical,9,307,Medical Expense Ledger
06-03-2026,UPI-ZERODHA BROKING LTD-JUICE,,882,,Groceries & Food,3,301,Groceries Expense Ledger
10-02-2026,SPOTIFY SUBSCRIPTION-254542,,4601,,Entertainment,8,306,Entertainment Expense Ledger
17-04-2025,APR 2025 SALARY CREDIT,85148,,,Salary Income,1,201,Salary Ledger
10-04-2025,ACH C- TATA POWER CO LTD DIVIDEND-303834,4579,,,Investment Income,2,202,Investment Income Ledger
16-08-2025,NEFT CR-CREDIT CARD BILL PAYMENT-897577747,,35087,,Credit Card Payment,11,401,Credit Card Payment Ledger
21-01-2026,UPI-OLA CABS-ELECTRONICS,,2890,,Shopping & Lifestyle,6,304,Shopping Expense Ledger
26-03-2026,UPI-SWIGGY-BOOKS,,5413,,Education & Books,10,308,Education Expense Ledger
25-05-2025,ACH C- ASIAN PAINTS LTD DIVIDEND-808387,9046,,,Investment Income,2,202,Investment Income Ledger
03-11-2025,UPI-NATURAL ICE CREAM-ELECTRONICS,,10002,,Shopping & Lifestyle,6,304,Shopping Expense Ledger
17-08-2025,UPI-CREDCLUB-CRED PAYMENT-844468775,,77949,,Credit Card Payment,11,401,Credit Card Payment Ledger
20-03-2026,UPI-LENSKART-BOOKS,,5221,,Education & Books,10,308,Education Expense Ledger
01-02-2026,BANK TRANSFER-HOUSE RENT-571869,,47350,,Rent & Housing,4,302,Rent Expense Ledger
31-01-2026,CC BILL PAYMENT-315063766,,67798,,Credit Card Payment,11,401,Credit Card Payment Ledger
18-09-2025,UPI-AMAZON INDIA-GAMING,,3427,,Entertainment,8,306,Entertainment Expense Ledger
29-08-2025,UPI-FLIPKART-BREAKFAST,,2309,,Groceries & Food,3,301,Groceries Expense Ledger
09-07-2025,NEFT CR-SALARY-ASSET VANTAGE,86830,,,Salary Income,1,201,Salary Ledger
21-04-2025,UPI-DOMINOS PIZZA-GAMING,,1330,,Entertainment,8,306,Entertainment Expense Ledger
09-02-2026,RENT PAYMENT-490452,,22715,,Rent & Housing,4,302,Rent Expense Ledger
21-01-2026,UPI-MYNTRA-MOBILE BILL,,4056,,Utilities & Bills,7,305,Utilities Expense Ledger
30-03-2026,NEFT CR-CREDIT CARD BILL PAYMENT-813901126,,49225,,Credit Card Payment,11,401,Credit Card Payment Ledger
29-03-2026,UPI-LENSKART-MISC-300753,,2667,,Miscellaneous,12,499,Miscellaneous Ledger
20-10-2025,POS-LENSKART-MALL PURCHASE,,2975,,Shopping & Lifestyle,6,304,Shopping Expense Ledger
05-01-2026,UPI-IRCTC UTS-GOA TRIP EXPENSES,,3255,,Transport & Travel,5,303,Travel Expense Ledger
10-03-2026,UPI-NATURAL ICE CREAM-LAB TESTS,,6127,,Health & Medical,9,307,Medical Expense Ledger
04-02-2026,UPI-BIG BAZAAR-MISC-452365,,10345,,Miscellaneous,12,499,Miscellaneous Ledger
30-06-2025,UPI-FLIPKART-CONCERT TICKETS,,961,,Entertainment,8,306,Entertainment Expense Ledger
11-09-2025,UPI-AK JUICE CENTRE-MISC-347908,7637,,,Miscellaneous,12,499,Miscellaneous Ledger
18-05-2025,UPI-GOOGLEPAY-STATIONERY,,5657,,Education & Books,10,308,Education Expense Ledger
14-03-2026,UPI-UBER-CONCERT TICKETS,,4066,,Entertainment,8,306,Entertainment Expense Ledger
07-11-2025,DIVIDEND CREDIT HINDUSTAN UNILEVER LTD-669829,7592,,,Investment Income,2,202,Investment Income Ledger
23-06-2025,UPI-APOLLO PHARMACY-STATIONERY,,1647,,Education & Books,10,308,Education Expense Ledger
01-12-2025,UPI-UBER-CONCERT TICKETS,,3283,,Entertainment,8,306,Entertainment Expense Ledger
11-11-2025,UPI-DMART-MOBILE BILL,,2982,,Utilities & Bills,7,305,Utilities Expense Ledger
09-08-2025,UPI-OLA CABS-BROADBAND BILL,,2353,,Utilities & Bills,7,305,Utilities Expense Ledger
12-05-2025,HDFC BANK INTEREST CREDIT-395599,826,,,Investment Income,2,202,Investment Income Ledger
01-12-2025,ACH C- ICICI BANK DIVIDEND-764846,5117,,,Investment Income,2,202,Investment Income Ledger
07-10-2025,UPI-NETFLIX-BROADBAND BILL,,4974,,Utilities & Bills,7,305,Utilities Expense Ledger
07-01-2026,UPI-RELIANCE DIGITAL-LAB TESTS,,4335,,Health & Medical,9,307,Medical Expense Ledger
07-10-2025,UPI-CREDCLUB-CRED PAYMENT-770251208,,55353,,Credit Card Payment,11,401,Credit Card Payment Ledger
05-02-2026,UPI-AIRTEL PAYMENTS BANK-MISC-393624,3159,,,Miscellaneous,12,499,Miscellaneous Ledger
18-10-2025,UPI-PVR CINEMAS-DINNER,,97,,Groceries & Food,3,301,Groceries Expense Ledger
22-10-2025,UPI-DMART-WATER BILL,,2030,,Utilities & Bills,7,305,Utilities Expense Ledger
14-02-2026,UPI-NETFLIX-MOVIE TICKETS,,2032,,Entertainment,8,306,Entertainment Expense Ledger
25-08-2025,UPI-DMART-CLOTHING,,5274,,Shopping & Lifestyle,6,304,Shopping Expense Ledger
19-05-2025,UPI-STARBUCKS-MISC-488227,1931,,,Miscellaneous,12,499,Miscellaneous Ledger
11-04-2025,UPI-SWIGGY-MISC-298303,1624,,,Miscellaneous,12,499,Miscellaneous Ledger
31-12-2025,NEFT CR-CREDIT CARD BILL PAYMENT-549697911,,4262,,Credit Card Payment,11,401,Credit Card Payment Ledger
12-11-2025,UPI-BHARGAV SANDEEP DESAI-MISC-369045,,102,,Miscellaneous,12,499,Miscellaneous Ledger
13-12-2025,ASIAN PAINTS LTD INTEREST CREDIT-958823,769,,,Investment Income,2,202,Investment Income Ledger
17-06-2025,UPI-GOOGLEPAY-ELECTRICITY BILL,,271,,Utilities & Bills,7,305,Utilities Expense Ledger
20-05-2025,UPI-ZOMATO-FOOD,,436,,Groceries & Food,3,301,Groceries Expense Ledger
06-04-2025,NEFT CR-SALARY-TCS,49018,,,Salary Income,1,201,Salary Ledger
06-08-2025,UPI-DMART-MUMBAI TRIP,,7969,,Transport & Travel,5,303,Travel Expense Ledger
01-11-2025,UPI-DOMINOS PIZZA-PHARMACY,,2534,,Health & Medical,9,307,Medical Expense Ledger
21-08-2025,UPI-STARBUCKS-ONLINE COURSE,,3758,,Education & Books,10,308,Education Expense Ledger
07-09-2025,RENT PAYMENT-889417,,23916,,Rent & Housing,4,302,Rent Expense Ledger
24-02-2026,ACH C- VEDANTA LIMITED DIVIDEND-929365,8162,,,Investment Income,2,202,Investment Income Ledger
05-08-2025,NEFT-RENT-723502,,53536,,Rent & Housing,4,302,Rent Expense Ledger
05-10-2025,OCT 2025 SALARY CREDIT,56279,,,Salary Income,1,201,Salary Ledger
11-01-2026,CC BILL PAYMENT-253814126,,78485,,Credit Card Payment,11,401,Credit Card Payment Ledger
23-08-2025,CC BILL PAYMENT-127639012,,55028,,Credit Card Payment,11,401,Credit Card Payment Ledger
13-11-2025,APR NOV SALARY,81115,,,Salary Income,1,201,Salary Ledger
08-02-2026,UPI-NETFLIX-MOBILE BILL,,3273,,Utilities & Bills,7,305,Utilities Expense Ledger
12-03-2026,UPI-APOLLO PHARMACY-MOBILE BILL,,4308,,Utilities & Bills,7,305,Utilities Expense Ledger
24-05-2025,DIVIDEND CREDIT HINDUSTAN UNILEVER LTD-950525,2878,,,Investment Income,2,202,Investment Income Ledger
04-03-2026,UPI-IRCTC UTS-TICKET-594475891,,1747,,Transport & Travel,5,303,Travel Expense Ledger
27-09-2025,UPI-ZOMATO-PHARMACY,,7547,,Health & Medical,9,307,Medical Expense Ledger
04-07-2025,UPI-ZERODHA BROKING LTD-MUMBAI TRIP,,14906,,Transport & Travel,5,303,Travel Expense Ledger
15-09-2025,BANK TRANSFER-HOUSE RENT-359438,,43464,,Rent & Housing,4,302,Rent Expense Ledger
23-03-2026,NEFT CR-SALARY-INFOSYS LIMITED,49259,,,Salary Income,1,201,Salary Ledger
27-09-2025,ACH C- VEDANTA LIMITED DIVIDEND-906124,3841,,,Investment Income,2,202,Investment Income Ledger
29-07-2025,UPI-NATURAL ICE CREAM-LAB TESTS,,5248,,Health & Medical,9,307,Medical Expense Ledger
17-11-2025,UPI-CREDCLUB-CRED PAYMENT-575756650,,16549,,Credit Card Payment,11,401,Credit Card Payment Ledger
27-06-2025,MYNTRA SUBSCRIPTION-259882,,3213,,Entertainment,8,306,Entertainment Expense Ledger
28-04-2025,UPI-DOMINOS PIZZA-MOBILE BILL,,1704,,Utilities & Bills,7,305,Utilities Expense Ledger
17-05-2025,UPI-GOOGLEPAY-CAB RIDE,,8715,,Transport & Travel,5,303,Travel Expense Ledger
17-05-2025,UPI-NETFLIX-LUNCH,,871,,Groceries & Food,3,301,Groceries Expense Ledger
26-05-2025,UPI-OLA CABS-FOOD,,1444,,Groceries & Food,3,301,Groceries Expense Ledger
21-05-2025,NEFT CR-SALARY-HDFC BANK,67796,,,Salary Income,1,201,Salary Ledger
20-11-2025,UPI-NETFLIX-GAMING,,1974,,Entertainment,8,306,Entertainment Expense Ledger
06-06-2025,UPI-CREDCLUB-JUICE,,2281,,Groceries & Food,3,301,Groceries Expense Ledger
04-08-2025,UPI-MYNTRA-CLOTHING,,11582,,Shopping & Lifestyle,6,304,Shopping Expense Ledger
21-02-2026,BANK TRANSFER-HOUSE RENT-619385,,40323,,Rent & Housing,4,302,Rent Expense Ledger
20-09-2025,SEP 2025 SALARY CREDIT,51939,,,Salary Income,1,201,Salary Ledger
29-11-2025,NEFT-RENT-922376,,11359,,Rent & Housing,4,302,Rent Expense Ledger
02-06-2025,BANK TRANSFER-HOUSE RENT-302834,,46134,,Rent & Housing,4,302,Rent Expense Ledger
09-06-2025,UPI-NATURAL ICE CREAM-COACHING FEES,,9770,,Education & Books,10,308,Education Expense Ledger
15-04-2025,UPI-FLIPKART-MOVIE TICKETS,,4991,,Entertainment,8,306,Entertainment Expense Ledger
01-06-2025,UPI-ZOMATO-GAMING,,2756,,Entertainment,8,306,Entertainment Expense Ledger
11-07-2025,UPI-AMAZON INDIA-CONCERT TICKETS,,4105,,Entertainment,8,306,Entertainment Expense Ledger
04-06-2025,UPI-UBER-CONCERT TICKETS,,3458,,Entertainment,8,306,Entertainment Expense Ledger
03-05-2025,UPI-BHARGAV SANDEEP DESAI-PHARMACY,,7878,,Health & Medical,9,307,Medical Expense Ledger
14-05-2025,UPI-FLIPKART-COACHING FEES,,6853,,Education & Books,10,308,Education Expense Ledger
15-09-2025,UPI-NATURAL ICE CREAM-LAB TESTS,,1505,,Health & Medical,9,307,Medical Expense Ledger
15-06-2025,UPI-IRCTC UTS-STATIONERY,,8202,,Education & Books,10,308,Education Expense Ledger
11-08-2025,UPI-PVR CINEMAS-FOOD,,2027,,Groceries & Food,3,301,Groceries Expense Ledger
01-10-2025,NEFT CR-SALARY-FREELANCE CLIENT,89422,,,Salary Income,1,201,Salary Ledger
08-12-2025,UPI-RELIANCE DIGITAL-LAB TESTS,,3964,,Health & Medical,9,307,Medical Expense Ledger
15-04-2025,TCS LIMITED INTEREST CREDIT-702251,2448,,,Investment Income,2,202,Investment Income Ledger
16-01-2026,UPI-STARBUCKS-ELECTRICITY BILL,,4382,,Utilities & Bills,7,305,Utilities Expense Ledger
15-11-2025,UPI-BHARGAV SANDEEP DESAI-PHARMACY,,1801,,Health & Medical,9,307,Medical Expense Ledger
30-04-2025,UPI-STARBUCKS-STATIONERY,,5752,,Education & Books,10,308,Education Expense Ledger
12-02-2026,OLA CABS PAYMENT-602182771,,6689,,Transport & Travel,5,303,Travel Expense Ledger
02-03-2026,POS-RELIANCE DIGITAL-MALL PURCHASE,,6084,,Shopping & Lifestyle,6,304,Shopping Expense Ledger
23-04-2025,BANK TRANSFER-HOUSE RENT-778936,,58126,,Rent & Housing,4,302,Rent Expense Ledger
10-07-2025,UPI-IRCTC UTS-TICKET-300556420,,9275,,Transport & Travel,5,303,Travel Expense Ledger
19-01-2026,UPI-PVR CINEMAS-ONLINE SHOPPING,,2872,,Shopping & Lifestyle,6,304,Shopping Expense Ledger
29-12-2025,UPI-SPOTIFY-MISC-702772,,9568,,Miscellaneous,12,499,Miscellaneous Ledger
07-06-2025,UPI-UBER-MISC-929378,13076,,,Miscellaneous,12,499,Miscellaneous Ledger
16-06-2025,UPI-LENSKART-MOVIE TICKETS,,2285,,Entertainment,8,306,Entertainment Expense Ledger
13-08-2025,UPI-IRCTC UTS-MOVIE TICKETS,,4398,,Entertainment,8,306,Entertainment Expense Ledger
24-09-2025,OLA CABS PAYMENT-495858362,,410,,Transport & Travel,5,303,Travel Expense Ledger
12-11-2025,UPI-PVR CINEMAS-SHOPPING,,11660,,Shopping & Lifestyle,6,304,Shopping Expense Ledger
13-08-2025,DIVIDEND CREDIT TATA POWER CO LTD-789753,7666,,,Investment Income,2,202,Investment Income Ledger
16-09-2025,UPI-CREDCLUB-CRED PAYMENT-395237045,,7078,,Credit Card Payment,11,401,Credit Card Payment Ledger
29-12-2025,UPI-AIRTEL PAYMENTS BANK-MISC-393561,4011,,,Miscellaneous,12,499,Miscellaneous Ledger
14-04-2025,UPI-UBER-CAB RIDE,,1819,,Transport & Travel,5,303,Travel Expense Ledger
01-07-2025,NEFT-RENT-810070,,50571,,Rent & Housing,4,302,Rent Expense Ledger
16-12-2025,UPI-ZERODHA BROKING LTD-SHOPPING,,10550,,Shopping & Lifestyle,6,304,Shopping Expense Ledger
20-02-2026,UPI-STARBUCKS-PHARMACY,,3462,,Health & Medical,9,307,Medical Expense Ledger
04-10-2025,UPI-NETFLIX-ONLINE COURSE,,4700,,Education & Books,10,308,Education Expense Ledger
11-10-2025,UPI-SWIGGY-ONLINE SHOPPING,,9069,,Shopping & Lifestyle,6,304,Shopping Expense Ledger
10-05-2025,UPI-NETFLIX-MOVIE TICKETS,,3858,,Entertainment,8,306,Entertainment Expense Ledger
10-09-2025,UPI-NETFLIX-COACHING FEES,,9048,,Education & Books,10,308,Education Expense Ledger
11-10-2025,UPI-CROSSWORD BOOKSTORE-CLOTHING,,6709,,Shopping & Lifestyle,6,304,Shopping Expense Ledger
28-06-2025,UPI-DOMINOS PIZZA-SHOPPING,,16852,,Shopping & Lifestyle,6,304,Shopping Expense Ledger
08-07-2025,UPI-GOOGLEPAY-CONCERT TICKETS,,2822,,Entertainment,8,306,Entertainment Expense Ledger
16-08-2025,UPI-DMART-ONLINE COURSE,,8184,,Education & Books,10,308,Education Expense Ledger
08-04-2025,DIVIDEND CREDIT HINDUSTAN UNILEVER LTD-248441,6219,,,Investment Income,2,202,Investment Income Ledger
27-07-2025,BANK TRANSFER-HOUSE RENT-561370,,12485,,Rent & Housing,4,302,Rent Expense Ledger
16-06-2025,ACH C- HDFC BANK DIVIDEND-759981,6339,,,Investment Income,2,202,Investment Income Ledger
29-07-2025,UPI-BIG BAZAAR-GAS CYLINDER PAYMENT,,4851,,Utilities & Bills,7,305,Utilities Expense Ledger
14-05-2025,UPI-MYNTRA-MISC-249395,,10708,,Miscellaneous,12,499,Miscellaneous Ledger
19-02-2026,BANK TRANSFER-HOUSE RENT-735311,,17890,,Rent & Housing,4,302,Rent Expense Ledger
03-11-2025,UPI-NETFLIX-MISC-488422,,1945,,Miscellaneous,12,499,Miscellaneous Ledger
04-12-2025,UPI-CREDCLUB-CRED PAYMENT-933718626,,51225,,Credit Card Payment,11,401,Credit Card Payment Ledger
13-01-2026,BANK TRANSFER-HOUSE RENT-279001,,52172,,Rent & Housing,4,302,Rent Expense Ledger
29-09-2025,UPI-NATURAL ICE CREAM-MUMBAI TRIP,,7123,,Transport & Travel,5,303,Travel Expense Ledger
02-05-2025,UPI-SWIGGY-MISC-606713,,14273,,Miscellaneous,12,499,Miscellaneous Ledger
13-10-2025,UPI-BHARGAV SANDEEP DESAI-MISC-870805,2334,,,Miscellaneous,12,499,Miscellaneous Ledger
31-10-2025,UPI-BIG BAZAAR-GAMING,,4987,,Entertainment,8,306,Entertainment Expense Ledger
28-12-2025,UPI-CREDCLUB-MEDICAL BILL,,3758,,Health & Medical,9,307,Medical Expense Ledger
05-09-2025,UPI-MYNTRA-CONCERT TICKETS,,3675,,Entertainment,8,306,Entertainment Expense Ledger
17-05-2025,UPI-FLIPKART-DOCTOR CONSULTATION,,7319,,Health & Medical,9,307,Medical Expense Ledger
13-07-2025,UPI-AIRTEL PAYMENTS BANK-CLOTHING,,5516,,Shopping & Lifestyle,6,304,Shopping Expense Ledger
11-08-2025,UPI-SWIGGY-MISC-512310,11923,,,Miscellaneous,12,499,Miscellaneous Ledger
22-11-2025,UPI-APOLLO PHARMACY-CAB RIDE,,10689,,Transport & Travel,5,303,Travel Expense Ledger
25-10-2025,RENT PAYMENT-927679,,11164,,Rent & Housing,4,302,Rent Expense Ledger
08-08-2025,UPI-NATURAL ICE CREAM-ONLINE COURSE,,3417,,Education & Books,10,308,Education Expense Ledger
26-03-2026,UPI-IRCTC UTS-BOOKS,,807,,Education & Books,10,308,Education Expense Ledger
07-11-2025,UPI-PVR CINEMAS-COACHING FEES,,9627,,Education & Books,10,308,Education Expense Ledger
26-06-2025,UPI-BHARGAV SANDEEP DESAI-GAMING,,4062,,Entertainment,8,306,Entertainment Expense Ledger
08-05-2025,UPI-CREDCLUB-CRED PAYMENT-944799071,,71442,,Credit Card Payment,11,401,Credit Card Payment Ledger
26-05-2025,NEFT-RENT-526792,,29438,,Rent & Housing,4,302,Rent Expense Ledger
29-06-2025,UPI-STARBUCKS-FOOD,,775,,Groceries & Food,3,301,Groceries Expense Ledger
29-05-2025,MAY 2025 SALARY CREDIT,60435,,,Salary Income,1,201,Salary Ledger
07-06-2025,CC BILL PAYMENT-544652859,,32721,,Credit Card Payment,11,401,Credit Card Payment Ledger
13-07-2025,UPI-SPOTIFY-MISC-212752,,8840,,Miscellaneous,12,499,Miscellaneous Ledger
03-06-2025,CC BILL PAYMENT-382145481,,26416,,Credit Card Payment,11,401,Credit Card Payment Ledger
21-02-2026,UPI-CROSSWORD BOOKSTORE-BREAKFAST,,174,,Groceries & Food,3,301,Groceries Expense Ledger
30-04-2025,RENT PAYMENT-964285,,54335,,Rent & Housing,4,302,Rent Expense Ledger
08-10-2025,UPI-SWIGGY-PHARMACY,,3171,,Health & Medical,9,307,Medical Expense Ledger
28-08-2025,UPI-DMART-GAMING,,2515,,Entertainment,8,306,Entertainment Expense Ledger
24-03-2026,UPI-RELIANCE DIGITAL-COACHING FEES,,9408,,Education & Books,10,308,Education Expense Ledger
11-05-2025,UPI-APOLLO PHARMACY-ELECTRICITY BILL,,2160,,Utilities & Bills,7,305,Utilities Expense Ledger
23-08-2025,UPI-FLIPKART-DINNER,,165,,Groceries & Food,3,301,Groceries Expense Ledger
19-03-2026,UPI-DOMINOS PIZZA-FOOD,,1532,,Groceries & Food,3,301,Groceries Expense Ledger
10-02-2026,OLA CABS PAYMENT-681794294,,7481,,Transport & Travel,5,303,Travel Expense Ledger
23-01-2026,SALARY CREDIT JAN 2026,42941,,,Salary Income,1,201,Salary Ledger
03-07-2025,UPI-STARBUCKS-MISC-422554,,14506,,Miscellaneous,12,499,Miscellaneous Ledger
02-06-2025,CC BILL PAYMENT-713729809,,25816,,Credit Card Payment,11,401,Credit Card Payment Ledger
30-11-2025,UPI-RELIANCE DIGITAL-FOOD,,1062,,Groceries & Food,3,301,Groceries Expense Ledger
05-03-2026,UPI-CROSSWORD BOOKSTORE-ONLINE SHOPPING,,13875,,Shopping & Lifestyle,6,304,Shopping Expense Ledger
20-10-2025,UPI-SWIGGY-STATIONERY,,275,,Education & Books,10,308,Education Expense Ledger
26-10-2025,BANK TRANSFER-HOUSE RENT-607353,,13877,,Rent & Housing,4,302,Rent Expense Ledger
11-07-2025,CC BILL PAYMENT-106240327,,5686,,Credit Card Payment,11,401,Credit Card Payment Ledger
06-01-2026,UPI-ZOMATO-WATER BILL,,2102,,Utilities & Bills,7,305,Utilities Expense Ledger
08-06-2025,CC BILL PAYMENT-390144720,,66552,,Credit Card Payment,11,401,Credit Card Payment Ledger
27-07-2025,UPI-NATURAL ICE CREAM-MOVIE TICKETS,,1927,,Entertainment,8,306,Entertainment Expense Ledger
02-09-2025,BANK TRANSFER-HOUSE RENT-323068,,10843,,Rent & Housing,4,302,Rent Expense Ledger
02-10-2025,UPI-APOLLO PHARMACY-MISC-215657,,9167,,Miscellaneous,12,499,Miscellaneous Ledger
28-06-2025,UPI-IRCTC UTS-BROADBAND BILL,,3395,,Utilities & Bills,7,305,Utilities Expense Ledger
12-05-2025,UPI-MYNTRA-JUICE,,277,,Groceries & Food,3,301,Groceries Expense Ledger
09-11-2025,UPI-IRCTC UTS-STATIONERY,,3292,,Education & Books,10,308,Education Expense Ledger
15-07-2025,UPI-CREDCLUB-CRED PAYMENT-741021587,,24862,,Credit Card Payment,11,401,Credit Card Payment Ledger
29-10-2025,UPI-AK JUICE CENTRE-DOCTOR CONSULTATION,,5133,,Health & Medical,9,307,Medical Expense Ledger
27-05-2025,HINDUSTAN UNILEVER LTD INTEREST CREDIT-993877,3015,,,Investment Income,2,202,Investment Income Ledger
23-09-2025,RENT PAYMENT-710774,,24428,,Rent & Housing,4,302,Rent Expense Ledger
11-10-2025,TCS LIMITED INTEREST CREDIT-528565,9071,,,Investment Income,2,202,Investment Income Ledger
19-04-2025,NEFT-RENT-157062,,38062,,Rent & Housing,4,302,Rent Expense Ledger
01-08-2025,UPI-CROSSWORD BOOKSTORE-JUICE,,1988,,Groceries & Food,3,301,Groceries Expense Ledger
19-05-2025,UPI-AK JUICE CENTRE-MEDICAL BILL,,347,,Health & Medical,9,307,Medical Expense Ledger
24-04-2025,ACH C- TCS LIMITED DIVIDEND-683510,1923,,,Investment Income,2,202,Investment Income Ledger
27-03-2026,NEFT CR-CREDIT CARD BILL PAYMENT-835602617,,4748,,Credit Card Payment,11,401,Credit Card Payment Ledger
27-07-2025,BANK TRANSFER-HOUSE RENT-744905,,52331,,Rent & Housing,4,302,Rent Expense Ledger
20-01-2026,UPI-AIRTEL PAYMENTS BANK-DOCTOR CONSULTATION,,4913,,Health & Medical,9,307,Medical Expense Ledger
02-07-2025,BANK TRANSFER-HOUSE RENT-602237,,9170,,Rent & Housing,4,302,Rent Expense Ledger
05-12-2025,UPI-MYNTRA-BREAKFAST,,1926,,Groceries & Food,3,301,Groceries Expense Ledger
02-01-2026,UPI-LENSKART-CAB RIDE,,387,,Transport & Travel,5,303,Travel Expense Ledger
03-11-2025,ACH C- TATA POWER CO LTD DIVIDEND-558996,6387,,,Investment Income,2,202,Investment Income Ledger
19-09-2025,UPI-CREDCLUB-CRED PAYMENT-654800010,,32831,,Credit Card Payment,11,401,Credit Card Payment Ledger
28-08-2025,UPI-AIRTEL PAYMENTS BANK-WATER BILL,,540,,Utilities & Bills,7,305,Utilities Expense Ledger
05-08-2025,UPI-NETFLIX-STATIONERY,,8697,,Education & Books,10,308,Education Expense Ledger
05-03-2026,SALARY CREDIT MAR 2026,57755,,,Salary Income,1,201,Salary Ledger
28-01-2026,UPI-CREDCLUB-MISC-851209,5350,,,Miscellaneous,12,499,Miscellaneous Ledger
18-03-2026,UPI-RELIANCE DIGITAL-GAMING,,1231,,Entertainment,8,306,Entertainment Expense Ledger
16-05-2025,ACH C- INFOSYS LIMITED DIVIDEND-575147,7548,,,Investment Income,2,202,Investment Income Ledger
23-12-2025,UPI-NETFLIX-DINNER,,2279,,Groceries & Food,3,301,Groceries Expense Ledger
08-03-2026,HDFC BANK INTEREST CREDIT-424703,2127,,,Investment Income,2,202,Investment Income Ledger
05-06-2025,UPI-NATURAL ICE CREAM-COACHING FEES,,8835,,Education & Books,10,308,Education Expense Ledger
25-04-2025,SALARY CREDIT APR 2025,81804,,,Salary Income,1,201,Salary Ledger
26-12-2025,UPI-STARBUCKS-CLOTHING,,8945,,Shopping & Lifestyle,6,304,Shopping Expense Ledger
27-10-2025,POS-DMART-MALL PURCHASE,,10601,,Shopping & Lifestyle,6,304,Shopping Expense Ledger
01-02-2026,ACH C- ICICI BANK DIVIDEND-145256,6205,,,Investment Income,2,202,Investment Income Ledger
21-05-2025,UPI-LENSKART-STATIONERY,,4009,,Education & Books,10,308,Education Expense Ledger
15-01-2026,UPI-ZERODHA BROKING LTD-MOBILE BILL,,4355,,Utilities & Bills,7,305,Utilities Expense Ledger
13-06-2025,UPI-CREDCLUB-FOOD,,2087,,Groceries & Food,3,301,Groceries Expense Ledger
30-05-2025,UPI-CROSSWORD BOOKSTORE-PHARMACY,,5397,,Health & Medical,9,307,Medical Expense Ledger
30-05-2025,UPI-AIRTEL PAYMENTS BANK-MISC-247735,10902,,,Miscellaneous,12,499,Miscellaneous Ledger
22-01-2026,OLA CABS PAYMENT-647546839,,4077,,Transport & Travel,5,303,Travel Expense Ledger
29-11-2025,ASIAN PAINTS LTD INTEREST CREDIT-236645,5297,,,Investment Income,2,202,Investment Income Ledger
08-10-2025,BANK TRANSFER-HOUSE RENT-442221,,21731,,Rent & Housing,4,302,Rent Expense Ledger
09-08-2025,NEFT-RENT-651852,,10776,,Rent & Housing,4,302,Rent Expense Ledger
14-02-2026,BANK TRANSFER-HOUSE RENT-829282,,15697,,Rent & Housing,4,302,Rent Expense Ledger
21-08-2025,UPI-PVR CINEMAS-BROADBAND BILL,,679,,Utilities & Bills,7,305,Utilities Expense Ledger
23-01-2026,UPI-CREDCLUB-CRED PAYMENT-674286951,,6060,,Credit Card Payment,11,401,Credit Card Payment Ledger
07-09-2025,UPI-PVR CINEMAS-JUICE,,1535,,Groceries & Food,3,301,Groceries Expense Ledger
16-08-2025,NEFT CR-SALARY-WIPRO,47148,,,Salary Income,1,201,Salary Ledger
16-09-2025,UPI-NETFLIX-WATER BILL,,3829,,Utilities & Bills,7,305,Utilities Expense Ledger
19-07-2025,UPI-ZOMATO-DOCTOR CONSULTATION,,5629,,Health & Medical,9,307,Medical Expense Ledger
29-12-2025,ACH C- TCS LIMITED DIVIDEND-647670,7990,,,Investment Income,2,202,Investment Income Ledger
30-09-2025,UPI-BIG BAZAAR-GAMING,,2353,,Entertainment,8,306,Entertainment Expense Ledger
24-06-2025,UPI-NETFLIX-GOA TRIP EXPENSES,,7554,,Transport & Travel,5,303,Travel Expense Ledger
22-02-2026,UPI-LENSKART-BREAKFAST,,1183,,Groceries & Food,3,301,Groceries Expense Ledger
18-08-2025,UPI-GOOGLEPAY-LUNCH,,1718,,Groceries & Food,3,301,Groceries Expense Ledger
15-10-2025,UPI-CREDCLUB-PHARMACY,,7974,,Health & Medical,9,307,Medical Expense Ledger
24-02-2026,UPI-DMART-GOA TRIP EXPENSES,,4703,,Transport & Travel,5,303,Travel Expense Ledger
14-11-2025,UPI-ZOMATO-WATER BILL,,840,,Utilities & Bills,7,305,Utilities Expense Ledger
13-05-2025,UPI-AIRTEL PAYMENTS BANK-GAS CYLINDER PAYMENT,,4903,,Utilities & Bills,7,305,Utilities Expense Ledger
09-03-2026,UPI-STARBUCKS-ONLINE SHOPPING,,17951,,Shopping & Lifestyle,6,304,Shopping Expense Ledger
15-11-2025,UPI-LENSKART-ONLINE COURSE,,2775,,Education & Books,10,308,Education Expense Ledger
31-07-2025,UPI-DOMINOS PIZZA-DINNER,,2290,,Groceries & Food,3,301,Groceries Expense Ledger
21-05-2025,MAY 2025 SALARY CREDIT,78736,,,Salary Income,1,201,Salary Ledger
15-01-2026,NEFT-RENT-416527,,15493,,Rent & Housing,4,302,Rent Expense Ledger
